Epsilon,Class,Accuracy Mean,Accuracy Std
0.01,1,99.64102564102564,0.20512820512820368
0.01,0,52.649572649572654,8.012792022741374
0.1,1,99.33333333333334,0.5980463481892596
0.1,0,53.33333333333333,8.215360429057661
1.0,1,99.20512820512819,0.40460855995024103
1.0,0,59.01709401709402,7.1444249659500345
10.0,1,98.74358974358975,1.2105714496526028
10.0,0,61.282051282051285,7.505324771097085
100.0,1,99.17948717948718,0.1918798659884058
100.0,0,64.18803418803418,1.6081100617287833
1000.0,1,99.02564102564104,0.27616229780176765
1000.0,0,64.3162393162393,1.7120705661547129
